feature,importance
loan_percent_income,0.25275477472080665
person_income,0.13637005300266286
loan_int_rate,0.13368529791912623
person_home_ownership_RENT,0.09100167653538922
loan_grade_D,0.07549805045572162
loan_amnt,0.06157619201889847
person_emp_length,0.04583647154917507
person_age,0.028032400479433776
loan_grade_C,0.020473057147617255
cb_person_cred_hist_length,0.020167348185554417
person_home_ownership_OWN,0.01977302969314916
loan_grade_E,0.01765033834608266
loan_intent_MEDICAL,0.016556445607159083
loan_intent_HOMEIMPROVEMENT,0.01609653112571617
cb_person_default_on_file_Y,0.01513125034774323
loan_intent_EDUCATION,0.014854933304215995
loan_intent_VENTURE,0.01321538746091927
loan_intent_PERSONAL,0.011636962360752096
loan_grade_B,0.004072939951143844
loan_grade_F,0.003670816018370262
loan_grade_G,0.0017286121163405453
person_home_ownership_OTHER,0.0002174316540222974
